bench-10bytes-Null-x	bench-10bytes-Null-y	bench-apache-Null-x	bench-apache-Null-y	bench-bc-Null-x	bench-bc-Null-y	bench-10bytes-ReedSolomon-x	bench-10bytes-ReedSolomon-y	bench-apache-ReedSolomon-x	bench-apache-ReedSolomon-y	bench-bc-ReedSolomon-x	bench-bc-ReedSolomon-y	bench-10bytes-SimpleRegenerating-x	bench-10bytes-SimpleRegenerating-y	bench-apache-SimpleRegenerating-x	bench-apache-SimpleRegenerating-y	bench-bc-SimpleRegenerating-x	bench-bc-SimpleRegenerating-y	
0.14	0.206	0.14	0.1192368839427663	0.14	0.10638297872340426	0.14	0.975	0.14	0.9399841017488076	0.14	0.9468085106382979	0.14	0.773	0.14	0.6029411764705882	0.14	0.5851063829787234	
0.15	0.18	0.15	0.10373608903020667	0.15	0.0851063829787234	0.15	0.964	0.15	0.9177265500794912	0.15	0.9148936170212766	0.15	0.712	0.15	0.5767090620031796	0.15	0.5638297872340425	
0.16	0.163	0.16	0.09062003179650238	0.16	0.07446808510638298	0.16	0.957	0.16	0.8954689984101749	0.16	0.8723404255319149	0.16	0.681	0.16	0.5194753577106518	0.16	0.5638297872340425	
0.17	0.138	0.17	0.08068362480127186	0.17	0.07446808510638298	0.17	0.945	0.17	0.8787758346581876	0.17	0.8085106382978723	0.17	0.675	0.17	0.5194753577106518	0.17	0.5425531914893617	
0.18	0.124	0.18	0.06995230524642289	0.18	0.07446808510638298	0.18	0.929	0.18	0.8505564387917329	0.18	0.7553191489361702	0.18	0.63	0.18	0.4562798092209857	0.18	0.5212765957446809	
0.19	0.104	0.19	0.05922098569157393	0.19	0.06382978723404255	0.19	0.914	0.19	0.8199523052464229	0.19	0.7340425531914894	0.19	0.6	0.19	0.3998410174880763	0.19	0.5106382978723404	
0.2	0.089	0.2	0.05206677265500795	0.2	0.06382978723404255	0.2	0.901	0.2	0.7853736089030207	0.2	0.7127659574468085	0.2	0.589	0.2	0.39069952305246425	0.2	0.425531914893617	
0.21	0.073	0.21	0.04531001589825119	0.21	0.05319148936170213	0.21	0.877	0.21	0.7480127186009539	0.21	0.7021276595744681	0.21	0.575	0.21	0.3712241653418124	0.21	0.3723404255319149	
0.22	0.071	0.22	0.038950715421303655	0.22	0.05319148936170213	0.22	0.862	0.22	0.7146263910969793	0.22	0.6808510638297872	0.22	0.552	0.22	0.3410174880763116	0.22	0.3404255319148936	
0.23	0.066	0.23	0.03457869634340222	0.23	0.05319148936170213	0.23	0.822	0.23	0.6824324324324325	0.23	0.6063829787234043	0.23	0.491	0.23	0.302066772655008	0.23	0.30851063829787234	
0.24	0.05	0.24	0.02821939586645469	0.24	0.0425531914893617	0.24	0.789	0.24	0.6446740858505564	0.24	0.5957446808510638	0.24	0.464	0.24	0.26987281399046104	0.24	0.2872340425531915	
0.25	0.046	0.25	0.025437201907790145	0.25	0.0425531914893617	0.25	0.765	0.25	0.6021462639109698	0.25	0.5638297872340425	0.25	0.42	0.25	0.2404610492845787	0.25	0.2765957446808511	
0.26	0.042	0.26	0.021462639109697933	0.26	0.0425531914893617	0.26	0.74	0.26	0.5655802861685215	0.26	0.5	0.26	0.392	0.26	0.21462639109697934	0.26	0.23404255319148937	
0.27	0.038	0.27	0.019077901430842606	0.27	0.0425531914893617	0.27	0.706	0.27	0.5278219395866455	0.27	0.4148936170212766	0.27	0.352	0.27	0.18322734499205087	0.27	0.20212765957446807	
0.28	0.032	0.28	0.01589825119236884	0.28	0.0425531914893617	0.28	0.666	0.28	0.4864864864864865	0.28	0.3829787234042553	0.28	0.327	0.28	0.16454689984101747	0.28	0.1595744680851064	
0.29	0.031	0.29	0.014308426073131956	0.29	0.0425531914893617	0.29	0.622	0.29	0.45031796502384736	0.29	0.3617021276595745	0.29	0.28	0.29	0.15461049284578696	0.29	0.14893617021276595	
0.3	0.027	0.3	0.01232114467408585	0.3	0.031914893617021274	0.3	0.588	0.3	0.4129570747217806	0.3	0.35106382978723405	0.3	0.259	0.3	0.13910969793322733	0.3	0.1276595744680851	
0.31	0.023	0.31	0.011128775834658187	0.31	0.02127659574468085	0.31	0.554	0.31	0.3767885532591415	0.31	0.3191489361702128	0.31	0.237	0.31	0.12559618441971382	0.31	0.10638297872340426	
0.32	0.02	0.32	0.009538950715421303	0.32	0.02127659574468085	0.32	0.521	0.32	0.345389507154213	0.32	0.26595744680851063	0.32	0.209	0.32	0.10333863275039745	0.32	0.0851063829787234	
0.33	0.015	0.33	0.00794912559618442	0.33	0.02127659574468085	0.33	0.485	0.33	0.3120031796502385	0.33	0.2553191489361702	0.33	0.184	0.33	0.09220985691573927	0.33	0.0851063829787234	
0.34	0.014	0.34	0.006756756756756757	0.34	0.010638297872340425	0.34	0.459	0.34	0.27821939586645467	0.34	0.24468085106382978	0.34	0.163	0.34	0.08187599364069953	0.34	0.07446808510638298	
0.35	0.007	0.35	0.006756756756756757	0.35	0.010638297872340425	0.35	0.428	0.35	0.25357710651828297	0.35	0.22340425531914893	0.35	0.136	0.35	0.07034976152623211	0.35	0.05319148936170213	
0.36	0.007	0.36	0.006359300476947536	0.36	0.010638297872340425	0.36	0.385	0.36	0.2253577106518283	0.36	0.20212765957446807	0.36	0.125	0.36	0.04848966613672496	0.36	0.05319148936170213	
0.37	0.007	0.37	0.005961844197138315	0.37	0.0	0.37	0.356	0.37	0.1987281399046105	0.37	0.1702127659574468	0.37	0.104	0.37	0.04014308426073132	0.37	0.05319148936170213	
0.38	0.006	0.38	0.0047694753577106515	1	0	0.38	0.328	0.38	0.1760731319554849	0.38	0.1702127659574468	0.38	0.096	0.38	0.02702702702702703	0.38	0.05319148936170213	
0.39	0.005	0.39	0.0047694753577106515	1	0	0.39	0.304	0.39	0.15818759936406995	0.39	0.1595744680851064	0.39	0.088	0.39	0.0246422893481717	0.39	0.031914893617021274	
0.4	0.003	0.4	0.00397456279809221	1	0	0.4	0.278	0.4	0.140302066772655	0.4	0.13829787234042554	0.4	0.066	0.4	0.01987281399046105	0.4	0.031914893617021274	
0.41	0.002	0.41	0.003179650238473768	1	0	0.41	0.255	0.41	0.12082670906200318	0.41	0.1276595744680851	0.41	0.054	0.41	0.016693163751987282	0.41	0.031914893617021274	
0.42	0.001	0.42	0.0027821939586645467	1	0	0.42	0.226	0.42	0.11208267090620032	0.42	0.1276595744680851	0.42	0.051	0.42	0.014308426073131956	0.42	0.031914893617021274	
0.43	0.0	0.43	0.001987281399046105	1	0	0.43	0.214	0.43	0.09936406995230525	0.43	0.10638297872340426	0.43	0.046	0.43	0.013513513513513514	0.43	0.02127659574468085	
1	0	0.44	0.001589825119236884	1	0	0.44	0.189	0.44	0.0870429252782194	0.44	0.09574468085106383	0.44	0.036	0.44	0.010333863275039745	0.44	0.02127659574468085	
1	0	0.45	0.0011923688394276629	1	0	0.45	0.16	0.45	0.07352941176470588	0.45	0.0851063829787234	0.45	0.025	0.45	0.008744038155802861	0.45	0.02127659574468085	
1	0	0.46	0.0011923688394276629	1	0	0.46	0.137	0.46	0.0643879173290938	0.46	0.0851063829787234	0.46	0.023	0.46	0.00794912559618442	0.46	0.010638297872340425	
1	0	0.47	0.000794912559618442	1	0	0.47	0.124	0.47	0.05405405405405406	0.47	0.07446808510638298	0.47	0.021	0.47	0.006359300476947536	0.47	0.010638297872340425	
1	0	0.48	0.000794912559618442	1	0	0.48	0.108	0.48	0.049682034976152624	0.48	0.05319148936170213	0.48	0.015	0.48	0.003577106518282989	0.48	0.010638297872340425	
1	0	0.49	0.000794912559618442	1	0	0.49	0.1	0.49	0.04014308426073132	0.49	0.0425531914893617	0.49	0.009	0.49	0.003179650238473768	0.49	0.010638297872340425	
1	0	0.5	0.000397456279809221	1	0	0.5	0.088	0.5	0.031001589825119236	0.5	0.031914893617021274	0.5	0.006	0.5	0.0027821939586645467	0.5	0.0	
1	0	0.51	0.000397456279809221	1	0	0.51	0.071	0.51	0.028616852146263912	0.51	0.02127659574468085	0.51	0.005	0.51	0.0023847376788553257	1	0	
1	0	0.52	0.000397456279809221	1	0	0.52	0.058	0.52	0.023052464228934817	0.52	0.02127659574468085	0.52	0.004	0.52	0.0023847376788553257	1	0	
1	0	0.53	0.000397456279809221	1	0	0.53	0.047	0.53	0.017090620031796504	0.53	0.02127659574468085	0.53	0.003	0.53	0.001589825119236884	1	0	
1	0	0.54	0.000397456279809221	1	0	0.54	0.038	0.54	0.014705882352941176	0.54	0.02127659574468085	0.54	0.002	0.54	0.0011923688394276629	1	0	
1	0	0.55	0.000397456279809221	1	0	0.55	0.032	0.55	0.011526232114467409	0.55	0.02127659574468085	0.55	0.002	0.55	0.0011923688394276629	1	0	
1	0	0.56	0.000397456279809221	1	0	0.56	0.026	0.56	0.010333863275039745	0.56	0.02127659574468085	0.56	0.001	0.56	0.000794912559618442	1	0	
1	0	0.57	0.000397456279809221	1	0	0.57	0.021	0.57	0.007551669316375199	0.57	0.02127659574468085	0.57	0.001	0.57	0.000794912559618442	1	0	
1	0	0.58	0.000397456279809221	1	0	0.58	0.018	0.58	0.006756756756756757	0.58	0.02127659574468085	0.58	0.001	0.58	0.000794912559618442	1	0	
1	0	0.59	0.000397456279809221	1	0	0.59	0.015	0.59	0.00397456279809221	0.59	0.02127659574468085	0.59	0.001	0.59	0.000397456279809221	1	0	
1	0	0.6	0.0	1	0	0.6	0.013	0.6	0.0027821939586645467	0.6	0.010638297872340425	0.6	0.001	0.6	0.000397456279809221	1	0	
1	0	1	0	1	0	0.61	0.01	0.61	0.0023847376788553257	0.61	0.010638297872340425	0.61	0.001	0.61	0.0	1	0	
1	0	1	0	1	0	0.62	0.009	0.62	0.001589825119236884	0.62	0.010638297872340425	0.62	0.001	1	0	1	0	
1	0	1	0	1	0	0.63	0.008	0.63	0.000794912559618442	0.63	0.010638297872340425	0.63	0.001	1	0	1	0	
1	0	1	0	1	0	0.64	0.008	0.64	0.000397456279809221	0.64	0.010638297872340425	0.64	0.0	1	0	1	0	
1	0	1	0	1	0	0.65	0.005	0.65	0.000397456279809221	0.65	0.0	1	0	1	0	1	0	
1	0	1	0	1	0	0.66	0.004	0.66	0.000397456279809221	1	0	1	0	1	0	1	0	
1	0	1	0	1	0	0.67	0.004	0.67	0.000397456279809221	1	0	1	0	1	0	1	0	
1	0	1	0	1	0	0.68	0.004	0.68	0.000397456279809221	1	0	1	0	1	0	1	0	
1	0	1	0	1	0	0.69	0.004	0.69	0.000397456279809221	1	0	1	0	1	0	1	0	
1	0	1	0	1	0	0.7	0.004	0.7	0.000397456279809221	1	0	1	0	1	0	1	0	
1	0	1	0	1	0	0.71	0.0	0.71	0.000397456279809221	1	0	1	0	1	0	1	0	
1	0	1	0	1	0	1	0	0.72	0.000397456279809221	1	0	1	0	1	0	1	0	
1	0	1	0	1	0	1	0	0.73	0.000397456279809221	1	0	1	0	1	0	1	0	
1	0	1	0	1	0	1	0	0.74	0.0	1	0	1	0	1	0	1	0	
