sec	minute	hour	general	write	read	redis	cluster	exists
1220	20.333333333333332	0.3388888888888889	0	0	0	0	0	0
1240	20.666666666666668	0.34444444444444444	0	0	0	0	0	0
1260	21.0	0.35	0	0	0	0	0	0
1280	21.333333333333332	0.35555555555555557	0	0	0	0	0	0
1300	21.666666666666668	0.3611111111111111	0	0	0	0	0	0
1320	22.0	0.36666666666666664	0	0	0	0	0	0
1340	22.333333333333332	0.37222222222222223	7594	1997	5791	7519	0	3021
1360	22.666666666666668	0.37777777777777777	1529922	0	0	3857910	1063368	0
1380	23.0	0.38333333333333336	2097614	252466	535355	386511	1008462	332009
1400	23.333333333333332	0.3888888888888889	5154209	1820382	2595702	2533097	0	2499907
1420	23.666666666666668	0.39444444444444443	5595080	1852090	2470888	2607287	0	2504819
1440	24.0	0.4	5071733	1944311	2638774	2558879	0	2428741
1460	24.333333333333332	0.40555555555555556	5833437	1844773	3419142	2544379	0	2535183
1480	24.666666666666668	0.4111111111111111	2684620	44445	61479	4041708	2020060	58877
1500	25.0	0.4166666666666667	2260972	726171	1052580	1091683	76460	971527
1520	25.333333333333332	0.4222222222222222	5348674	1940996	2976911	2607486	0	2522824
1540	25.666666666666668	0.42777777777777776	5694887	1820816	2789908	2607804	0	2511217
1560	26.0	0.43333333333333335	4505181	1999398	2609323	2644974	0	2487029
1580	26.333333333333332	0.4388888888888889	4573551	1281867	2449303	3508532	42845	1858625
1600	26.666666666666668	0.4444444444444444	2437071	0	0	2366590	1978640	0
1620	27.0	0.45	4615979	1567685	2517524	2334932	872	2190254
1640	27.333333333333332	0.45555555555555555	4927466	2004077	2574969	2677532	0	2561519
1660	27.666666666666668	0.46111111111111114	0	0	0	0	0	0
1680	28.0	0.4666666666666667	0	0	0	0	0	0
1700	28.333333333333332	0.4722222222222222	0	0	0	0	0	0
1720	28.666666666666668	0.4777777777777778	0	0	0	0	0	0
1740	29.0	0.48333333333333334	0	0	0	0	0	0
1760	29.333333333333332	0.4888888888888889	0	0	0	0	0	0
1780	29.666666666666668	0.49444444444444446	0	0	0	0	0	0
1800	30.0	0.5	0	0	0	0	0	0
1820	30.333333333333332	0.5055555555555555	0	0	0	0	0	0
1840	30.666666666666668	0.5111111111111111	0	0	0	0	0	0
1860	31.0	0.5166666666666667	0	0	0	0	0	0
1880	31.333333333333332	0.5222222222222223	0	0	0	0	0	0
1900	31.666666666666668	0.5277777777777778	0	0	0	0	0	0
1920	32.0	0.5333333333333333	0	0	0	0	0	0
1940	32.333333333333336	0.5388888888888889	0	0	0	0	0	0
1960	32.666666666666664	0.5444444444444444	0	0	0	0	0	0
1980	33.0	0.55	0	0	0	0	0	0
2000	33.333333333333336	0.5555555555555556	0	0	0	0	0	0
2020	33.666666666666664	0.5611111111111111	0	0	0	0	0	0
2040	34.0	0.5666666666666667	3765626	1315509	1750758	1876550	0	1792447
2060	34.333333333333336	0.5722222222222222	244812	0	0	1953234	49073	0
2080	34.666666666666664	0.5777777777777777	2329088	0	0	5739663	88163	0
2100	35.0	0.5833333333333334	0	0	0	0	0	0
2120	35.333333333333336	0.5888888888888889	0	0	0	0	0	0
2140	35.666666666666664	0.5944444444444444	0	0	0	0	0	0
2160	36.0	0.6	0	0	0	0	0	0
2180	36.333333333333336	0.6055555555555555	6332	0	0	0	0	0
2200	36.666666666666664	0.6111111111111112	1637588	0	0	5544063	1821689	0
2220	37.0	0.6166666666666667	2305184	0	0	3937199	267475	0
2240	37.333333333333336	0.6222222222222222	0	0	0	0	0	0
2260	37.666666666666664	0.6277777777777778	0	0	0	0	0	0
2280	38.0	0.6333333333333333	0	0	0	0	0	0
2300	38.333333333333336	0.6388888888888888	0	0	0	0	0	0
2320	38.666666666666664	0.6444444444444445	0	0	0	0	0	0
2340	39.0	0.65	0	0	0	0	0	0
2360	39.333333333333336	0.6555555555555556	0	0	0	0	0	0
2380	39.666666666666664	0.6611111111111111	0	0	0	0	0	0
2400	40.0	0.6666666666666666	0	0	0	0	0	0
2420	40.333333333333336	0.6722222222222223	0	0	0	0	0	0
2440	40.666666666666664	0.6777777777777778	0	0	0	0	0	0
2460	41.0	0.6833333333333333	0	0	0	0	0	0
2480	41.333333333333336	0.6888888888888889	0	0	0	0	0	0
2500	41.666666666666664	0.6944444444444444	0	0	0	0	0	0
2520	42.0	0.7	0	0	0	0	0	0
2540	42.333333333333336	0.7055555555555556	0	0	0	0	0	0
2560	42.666666666666664	0.7111111111111111	0	0	0	0	0	0
2580	43.0	0.7166666666666667	0	0	0	0	0	0
2600	43.333333333333336	0.7222222222222222	0	0	0	0	0	0
2620	43.666666666666664	0.7277777777777777	0	0	0	0	0	0
2640	44.0	0.7333333333333333	0	0	0	0	0	0
2660	44.333333333333336	0.7388888888888889	0	0	0	0	0	0
2680	44.666666666666664	0.7444444444444445	0	0	0	0	0	0
2700	45.0	0.75	0	0	0	0	0	0
2720	45.333333333333336	0.7555555555555555	0	0	0	0	0	0
2740	45.666666666666664	0.7611111111111111	0	0	0	0	0	0
2760	46.0	0.7666666666666667	0	0	0	0	0	0
2780	46.333333333333336	0.7722222222222223	0	0	0	0	0	0
2800	46.666666666666664	0.7777777777777778	0	0	0	0	0	0
2820	47.0	0.7833333333333333	0	0	0	0	0	0
2840	47.333333333333336	0.7888888888888889	0	0	0	0	0	0
2860	47.666666666666664	0.7944444444444444	0	0	0	0	0	0
2880	48.0	0.8	0	0	0	0	0	0
2900	48.333333333333336	0.8055555555555556	0	0	0	0	0	0
2920	48.666666666666664	0.8111111111111111	0	0	0	0	0	0
2940	49.0	0.8166666666666667	0	0	0	0	0	0
2960	49.333333333333336	0.8222222222222222	0	0	0	0	0	0
2980	49.666666666666664	0.8277777777777777	0	0	0	0	0	0
3000	50.0	0.8333333333333334	0	0	0	0	0	0
3020	50.333333333333336	0.8388888888888889	0	0	0	0	0	0
3040	50.666666666666664	0.8444444444444444	0	0	0	0	0	0
3060	51.0	0.85	0	0	0	0	0	0
3080	51.333333333333336	0.8555555555555555	0	0	0	0	0	0
3100	51.666666666666664	0.8611111111111112	0	0	0	0	0	0
3120	52.0	0.8666666666666667	0	0	0	0	0	0
3140	52.333333333333336	0.8722222222222222	0	0	0	0	0	0
3160	52.666666666666664	0.8777777777777778	824	0	0	0	0	0
3180	53.0	0.8833333333333333	1909638	0	0	6071131	2027557	0
3200	53.333333333333336	0.8888888888888888	0	0	0	0	0	0
3220	53.666666666666664	0.8944444444444445	0	0	0	0	0	0
3240	54.0	0.9	0	0	0	0	0	0
3260	54.333333333333336	0.9055555555555556	0	0	0	0	0	0
3280	54.666666666666664	0.9111111111111111	2317466	0	0	4070238	64474	0
3300	55.0	0.9166666666666666	154042	0	0	867382	20582	0
3320	55.333333333333336	0.9222222222222223	2794446	0	0	6748175	2010583	0
3340	55.666666666666664	0.9277777777777778	0	0	0	0	0	0
3360	56.0	0.9333333333333333	0	0	0	0	0	0
3380	56.333333333333336	0.9388888888888889	0	0	0	0	0	0
3400	56.666666666666664	0.9444444444444444	0	0	0	0	0	0
3420	57.0	0.95	0	0	0	0	0	0
3440	57.333333333333336	0.9555555555555556	0	0	0	0	0	0
3460	57.666666666666664	0.9611111111111111	0	0	0	0	0	0
3480	58.0	0.9666666666666667	0	0	0	0	0	0
3500	58.333333333333336	0.9722222222222222	0	0	0	0	0	0
3520	58.666666666666664	0.9777777777777777	0	0	0	0	0	0
3540	59.0	0.9833333333333333	0	0	0	0	0	0
3560	59.333333333333336	0.9888888888888889	0	0	0	0	0	0
3580	59.666666666666664	0.9944444444444445	0	0	0	0	0	0
3600	60.0	1.0	0	0	0	0	0	0
3620	60.333333333333336	1.0055555555555555	0	0	0	0	0	0
3640	60.666666666666664	1.011111111111111	0	0	0	0	0	0
3660	61.0	1.0166666666666666	0	0	0	0	0	0
3680	61.333333333333336	1.0222222222222221	0	0	0	0	0	0
3700	61.666666666666664	1.0277777777777777	0	0	0	0	0	0
3720	62.0	1.0333333333333334	0	0	0	0	0	0
3740	62.333333333333336	1.038888888888889	1321796	0	0	3212029	65026	0
3760	62.666666666666664	1.0444444444444445	1617166	0	0	6252083	1073448	0
3780	63.0	1.05	2809340	0	0	568620	2905931	0
3800	63.333333333333336	1.0555555555555556	0	0	0	0	0	0
3820	63.666666666666664	1.0611111111111111	0	0	0	0	0	0
3840	64.0	1.0666666666666667	0	0	0	0	0	0
3860	64.33333333333333	1.0722222222222222	0	0	0	0	0	0
3880	64.66666666666667	1.0777777777777777	434795	117917	158992	311058	7957	120941
3900	65.0	1.0833333333333333	3221002	0	0	5720611	2028065	0
3920	65.33333333333333	1.0888888888888888	0	0	0	0	0	0
3940	65.66666666666667	1.0944444444444446	0	0	0	0	0	0
3960	66.0	1.1	0	0	0	0	0	0
3980	66.33333333333333	1.1055555555555556	0	0	0	0	0	0
4000	66.66666666666667	1.1111111111111112	0	0	0	0	0	0
4020	67.0	1.1166666666666667	0	0	0	0	0	0
4040	67.33333333333333	1.1222222222222222	0	0	0	0	0	0
4060	67.66666666666667	1.1277777777777778	0	0	0	0	0	0
4080	68.0	1.1333333333333333	0	0	0	0	0	0
4100	68.33333333333333	1.1388888888888888	0	0	0	0	0	0
4120	68.66666666666667	1.1444444444444444	0	0	0	0	0	0
4140	69.0	1.15	0	0	0	0	0	0
4160	69.33333333333333	1.1555555555555554	0	0	0	0	0	0
4180	69.66666666666667	1.1611111111111112	0	0	0	0	0	0
4200	70.0	1.1666666666666667	0	0	0	0	0	0
4220	70.33333333333333	1.1722222222222223	0	0	0	0	0	0
4240	70.66666666666667	1.1777777777777778	0	0	0	0	0	0
4260	71.0	1.1833333333333333	0	0	0	0	0	0
4280	71.33333333333333	1.1888888888888889	0	0	0	0	0	0
4300	71.66666666666667	1.1944444444444444	0	0	0	0	0	0
4320	72.0	1.2	0	0	0	0	0	0
4340	72.33333333333333	1.2055555555555555	0	0	0	0	0	0
4360	72.66666666666667	1.211111111111111	0	0	0	0	0	0
4380	73.0	1.2166666666666666	0	0	0	0	0	0
4400	73.33333333333333	1.2222222222222223	0	0	0	0	0	0
4420	73.66666666666667	1.2277777777777779	503351	98102	39994	517795	73707	121837
4440	74.0	1.2333333333333334	18224	0	0	12710	0	0
